"time","Amm_mgL"
"23/07/2020 14:",1.41831
"23/07/2020 15:",1.51664
"23/07/2020 16:",1.49264
"23/07/2020 17:",1.63835
"23/07/2020 18:",1.76558
"23/07/2020 19:",1.75602
"23/07/2020 20:",1.79231
"23/07/2020 21:",1.82892
"23/07/2020 22:",1.77485
"23/07/2020 23:",1.72871
"24/07/2020 00:",1.63449
"24/07/2020 01:",1.54192
"24/07/2020 02:",1.46933
"24/07/2020 03:",1.34088
"24/07/2020 04:",1.19022
"24/07/2020 05:",1.02106
"24/07/2020 06:",0.886338
"24/07/2020 07:",0.797172
"24/07/2020 08:",0.705499
"24/07/2020 09:",0.639134
"24/07/2020 10:",0.77724
"24/07/2020 11:",0.820532
"24/07/2020 12:",1.03502
"24/07/2020 13:",1.20553
"24/07/2020 14:",1.37105
"24/07/2020 15:",1.45052
"24/07/2020 16:",1.46644
"24/07/2020 17:",1.66787
"24/07/2020 18:",1.6765
"24/07/2020 19:",1.74143
"24/07/2020 20:",1.77338
"24/07/2020 21:",1.76541
"24/07/2020 22:",1.7177
"24/07/2020 23:",1.70464
"25/07/2020 00:",1.78411
"25/07/2020 01:",1.56075
"25/07/2020 02:",1.45631
"25/07/2020 03:",1.3605
"25/07/2020 04:",1.2182
"25/07/2020 05:",1.04778
"25/07/2020 06:",0.948339
"25/07/2020 07:",0.824534
"25/07/2020 08:",0.746738
"25/07/2020 09:",0.662908
"25/07/2020 10:",0.86151
"25/07/2020 11:",0.885419
"25/07/2020 12:",1.05155
"25/07/2020 13:",1.29974
"25/07/2020 14:",1.43745
"25/07/2020 15:",1.5801
"25/07/2020 16:",1.50794
"25/07/2020 17:",1.77044
"25/07/2020 18:",1.79115
"25/07/2020 19:",1.93883
"25/07/2020 20:",1.99084
"25/07/2020 21:",1.9229
"25/07/2020 22:",1.97152
"25/07/2020 23:",1.8462
"26/07/2020 00:",1.83707
"26/07/2020 01:",1.67709
"26/07/2020 02:",1.57566
"26/07/2020 03:",1.51778
"26/07/2020 04:",1.33266
"26/07/2020 05:",1.13024
"26/07/2020 06:",0.9842
"26/07/2020 07:",0.876546
"26/07/2020 08:",0.786299
"26/07/2020 09:",0.718601
"26/07/2020 10:",0.962158
"26/07/2020 11:",0.97588
"26/07/2020 12:",0.958938
"26/07/2020 13:",1.22585
"26/07/2020 14:",1.36662
"26/07/2020 15:",1.51263
"26/07/2020 16:",1.657
"26/07/2020 17:",1.90693
"26/07/2020 18:",1.94988
"26/07/2020 19:",2.04768
"26/07/2020 20:",2.03612
"26/07/2020 21:",1.98755
"26/07/2020 22:",1.92239
"26/07/2020 23:",1.95373
"27/07/2020 00:",1.83087
"27/07/2020 01:",1.85318
"27/07/2020 02:",1.66908
"27/07/2020 03:",1.47931
"27/07/2020 04:",1.39787
"27/07/2020 05:",1.23449
"27/07/2020 06:",1.14442
"27/07/2020 07:",0.956983
"27/07/2020 08:",0.852866
"27/07/2020 09:",0.792111
"27/07/2020 10:",0.843765
"27/07/2020 11:",0.883653
"27/07/2020 12:",0.988533
"27/07/2020 13:",1.23472
"27/07/2020 14:",1.42829
"27/07/2020 15:",1.5366
"27/07/2020 16:",1.50762
"27/07/2020 17:",1.77
"27/07/2020 18:",1.8
"27/07/2020 19:",1.9
"27/07/2020 20:",1.95
"27/07/2020 21:",1.96
"27/07/2020 22:",1.92
"27/07/2020 23:",1.86
"28/07/2020 00:",1.79
"28/07/2020 01:",1.72
"28/07/2020 02:",1.58
"28/07/2020 03:",1.43
"28/07/2020 04:",1.32
"28/07/2020 05:",1.21
"28/07/2020 06:",1.11
"28/07/2020 07:",0.897
"28/07/2020 08:",0.927
"28/07/2020 09:",0.838
"28/07/2020 10:",1.02
